AP2D,GYS1
AP2D,Q8WY48
AP2D,CNFN
AP2D,AGR2
AP2D,TENS2
AP2D,GUCD1
AP2D,SLAI1
AP2D,B7ZMJ3
AP2D,SRB4D
AP2D,A8K6G4
AP2D,TRI42
AP2D,BAG4
AP2D,PSB4
AP2D,IKZF3
AP2D,SPY1
AP2D,ARIP4
AP2D,X5D9D2
AP2D,B7Z7X1
AP2D,AP4AT
AP2D,VP37C
AP2D,HXD12
AP2D,SMIP9
AP2D,KR111
AP2D,KRA61
AP2D,SIVA
AP2D,A4FU57
AP2D,KRA62
AP2D,KR192
AP2D,KR151
AP2D,KR108
AP2D,KRA11
AP2D,A0A024R6X4
AP2D,INCA1
AP2D,CRTP1
AP2D,KR261
AP2D,KPRP
AP2D,N0E4C7
AP2D,KRA93
AP2D,KR123
AP2D,CDPF1
AP2D,PRR22
AP2D,KRA24
AP2D,KRA63
AP2D,KRA23
AP2D,CMI2B
AP2D,KRA13
AP2D,KRA92
AP2D,KR197
AP2D,KR107
AP2D,KRA71
CYH3,IN35
CYH3,ICEF1
CYH3,A0A087X1E4
CYH3,CNKR1
CYH3,CC120
SYPL1,RBFA
SYPL1,PPIF
SYPL1,SDCB1
SYPL1,CIB3
SYPL1,SYTM
SYPL1,Q96AL5
SYPL1,TEX44
SYPL1,ARFG3
CY561,BEST2
CY561,B7Z6R4
CY561,AQP6
CY561,SCD
CY561,BIK
CY561,HMOX1
CY561,VAPA
CY561,PLP2
CY561,H3BMC5
CY561,A8K3L7
CY561,CD79A
CY561,FKBP8
CY561,BET1
CY561,GOSR2
CY561,B8K2Q5
CY561,SEC20
CY561,ECHP
CY561,REEP6
CY561,SYDM
CY561,SC22A
CY561,ORML2
CY561,VAPB
CY561,ERGI3
CY561,GGT7
CY561,TM128
CY561,Q6FII3
CY561,S19A3
CY561,C9JCY4
CY561,CKLF2
CY561,A0A0A0MTL8
CY561,EBP
CY561,SERP2
CY561,ZDHC7
CY561,A0A0U5J797
CY561,T4S18
CY561,GPX8
CY561,TMM65
CY561,A4D1L0
CY561,S39A2
CY561,STX3
CY561,Q6P186
CY561,LPAR3
CY561,GP152
CY561,TMM11
CY561,EFNA5
CY561,T179B
CY561,B3KT99
CY561,TMPPE
CY561,GIMA5
CY561,LHPL5
CY561,UB2J1
CY561,SYJ2B
CY561,Q5TZT0
CY561,CLD9
CY561,TM242
CY561,SMIM1
PKHG6,CEP55
S18L2,EMC2
S18L2,GBG3
S18L2,I6L9C2
S18L2,TMM17
S18L2,LYPD6
S18L2,MBD5
MGST1,FXYD3
MGST1,EGF
MGST1,VIP
MGST1,FZD7
MGST1,TR10C
MGST1,SIG12
B4DHW2,H0Y818
B4DHW2,QRIC1
MMP25,MEOX2
JIP2,HXC8
CSDE1,HID1
PAX7,HOME3
PAX7,A0A023T6R1
PAX7,AIRIM
PAX7,CT55
PAX7,A0A140VK09
PAX7,KR197
B3KWQ9,CEP68
B3KWQ9,E7EVN3
B3KWQ9,ZRAN1
B3KWQ9,PKHO1
B3KWQ9,CR3L3
B3KWQ9,Q6ZMK3
B3KWQ9,OSBL3
B3KWQ9,COQ9
B3KWQ9,CBARP
B3KWQ9,EMD
B3KWQ9,B7Z425
B3KWQ9,Q75ME0
B3KWQ9,CCNC
B3KWQ9,A0A140VJG2
B3KWQ9,GORAB
B3KWQ9,F209A
B3KWQ9,CC136
B3KWQ9,FATE1
B3KWQ9,RCAS1
B3KWQ9,KASH5
B3KWQ9,RGAP1
B3KWQ9,CC138
B3KWQ9,RIC3
B3KWQ9,CPLX4
B3KWQ9,NDEL1
B3KWQ9,GOLM2
B3KWQ9,CC88B
B3KWQ9,A0A0A0MS29
B3KWQ9,MNAR1
B3KWQ9,K1C27
B3KWQ9,GRM2A
B3KWQ9,LRC25
B3KWQ9,TM139
B3KWQ9,EVI2B
B3KWQ9,A0A1B0GVV3
B3KWQ9,GG6L9
B3KWQ9,LMBL3
B3KWQ9,LIME1
B3KWQ9,KI2L3
VTA1,A0A024R3C6
VTA1,CCNC
VTA1,CHM1A
VTA1,TEAD4
VTA1,CHM1B
EFNMT,TRAF2
EFNMT,THAP1
STR3N,HCST
B4DK09,C3TX97
Q5QTR4,A0A0C4DG49
Q5QTR4,FKBP7
Q5QTR4,F209A
Q5QTR4,ERGI3
Q5QTR4,CISD2
Q5QTR4,A0A087WVN2
Q5QTR4,CXL16
Q5QTR4,CD003
Q5QTR4,GPX8
Q5QTR4,CPLX4
Q5QTR4,FNDC9
Q5QTR4,GP152
Q5QTR4,AMGO1
Q5QTR4,A6ZIE4
Q5QTR4,TMX2
Q5QTR4,MILR1
A8K856,UB2D2
SEM3G,DESI2
FUZZY,CPLN2
ZN200,FHL2
LRC23,CEP55
SCMH1,B4DGW9
SCMH1,SMBT1
SCMH1,SMBT2
FYN,B3KWE2
FYN,DLGP4
FYN,EFS
FYN,MEOX2
FYN,CBLB
FYN,ERRFI
FYN,BAG4
FYN,F90A1
FYN,DTX3
FMO1,Q6FHL7
FMO1,SOAT
FMO1,MF14B
FMO1,REEP4
FMO1,LFG1
ELOA1,RABE1
ELOA1,LZTS1
ELOA1,PRDM6
ELOA1,Q59FE7
ELOA1,GRAP1
ELOA1,Q53SE7
ELOA1,ZEP1
ELOA1,B2RMV2
ELOA1,ANM5
ELOA1,A0A8I5KR14
ELOA1,KXDL1
ELOA1,TRI37
ELOA1,CDR2L
